Model,Precision,Recall,Threshold
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0013
unet,0.0068,1.0,0.0013
unet,0.0068,1.0,0.0013
unet,0.0068,1.0,0.0013
unet,0.0068,1.0,0.0013
unet,0.0068,1.0,0.0013
unet,0.0068,1.0,0.0013
unet,0.0068,1.0,0.0013
unet,0.0068,1.0,0.0013
unet,0.0068,1.0,0.0013
unet,0.0068,1.0,0.0013
unet,0.0068,1.0,0.0013
unet,0.0068,1.0,0.0013
unet,0.0068,1.0,0.0013
unet,0.0068,1.0,0.0013
unet,0.0068,1.0,0.0013
unet,0.0068,1.0,0.0013
unet,0.0068,1.0,0.0013
unet,0.0068,1.0,0.0013
unet,0.0068,1.0,0.0013
unet,0.0068,1.0,0.0013
unet,0.0068,1.0,0.0013
unet,0.0068,1.0,0.0013
unet,0.0068,1.0,0.0013
unet,0.0068,1.0,0.0013
unet,0.0068,1.0,0.0013
unet,0.0068,1.0,0.0013
unet,0.0068,1.0,0.0013
unet,0.0068,1.0,0.0013
unet,0.0068,1.0,0.0013
unet,0.0068,1.0,0.0013
unet,0.0068,1.0,0.0013
unet,0.0068,1.0,0.0013
unet,0.0068,1.0,0.0013
unet,0.0068,1.0,0.0013
unet,0.0068,1.0,0.0013
unet,0.0068,1.0,0.0013
unet,0.0068,1.0,0.0013
unet,0.0068,1.0,0.0013
unet,0.0068,1.0,0.0013
unet,0.0068,1.0,0.0013
unet,0.0068,1.0,0.0013
unet,0.0068,1.0,0.0013
unet,0.0068,1.0,0.0014
unet,0.0068,1.0,0.0014
unet,0.0068,1.0,0.0014
unet,0.0068,1.0,0.0014
unet,0.0068,1.0,0.0014
unet,0.0068,1.0,0.0014
unet,0.0068,1.0,0.0014
unet,0.0068,1.0,0.0014
unet,0.0068,1.0,0.0014
unet,0.0068,1.0,0.0014
unet,0.0068,1.0,0.0014
unet,0.0068,1.0,0.0014
unet,0.0068,1.0,0.0014
unet,0.0068,1.0,0.0014
unet,0.0068,1.0,0.0014
unet,0.0068,1.0,0.0014
unet,0.0068,1.0,0.0014
unet,0.0068,1.0,0.0014
unet,0.0068,1.0,0.0014
unet,0.0068,1.0,0.0014
unet,0.0068,1.0,0.0014
unet,0.0068,1.0,0.0014
unet,0.0068,1.0,0.0014
unet,0.0068,1.0,0.0014
unet,0.0068,1.0,0.0014
unet,0.0068,1.0,0.0014
unet,0.0068,1.0,0.0014
unet,0.0068,1.0,0.0014
unet,0.0068,1.0,0.0014
unet,0.0068,1.0,0.0014
unet,0.0068,1.0,0.0014
unet,0.0068,1.0,0.0014
unet,0.0068,1.0,0.0014
unet,0.0068,1.0,0.0014
unet,0.0068,1.0,0.0014
unet,0.0068,1.0,0.0014
unet,0.0069,1.0,0.0014
unet,0.0069,1.0,0.0014
unet,0.0069,1.0,0.0014
unet,0.0069,1.0,0.0014
unet,0.0069,1.0,0.0014
unet,0.0069,1.0,0.0014
unet,0.0069,1.0,0.0014
unet,0.0069,1.0,0.0014
unet,0.0069,1.0,0.0014
unet,0.0069,1.0,0.0014
unet,0.0069,1.0,0.0014
unet,0.0069,1.0,0.0014
unet,0.0069,1.0,0.0014
unet,0.0069,1.0,0.0014
unet,0.0069,1.0,0.0014
unet,0.0069,1.0,0.0014
unet,0.0069,1.0,0.0014
unet,0.0069,1.0,0.0014
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
